date, h, s, w, c
1/22/2020,1.1,1.2,1.2,1
2/11/2020,1.1,1.2,1.1,1
3/5/2020,1.1,0.3,1,1
3/12/2020,1.1,0.3,0.9,0.9
3/14/2020,1.1,0.3,0.8,0.8
3/16/2020,1.1,0.3,0.6,0.6
3/21/2020,1.1,0.3,0.4,0.4
4/1/2020,1.1,0.3,0.3,0.3
6/1/2020,1.2,0.2,0.6,0.6
6/15/2020,1.2,0.2,0.7,0.7
7/20/2020,1.1,0.2,0.8,0.8
8/16/2020,1.3,0.3,0.7,0.7
10/1/2020,1.5,0.3,0.9,1
11/1/2020,1.5,0.3,1,1
11/16/2020,1.5,0.4,1,1
12/1/2020,1.4,0.4,1,1
12/20/2020,1.4,0.2,0.9,0.9
1/3/2021,1.3,0.3,0.7,0.8
2/1/2021,1.3,0.3,0.5,0.5
2/3/2021,1.2,0.4,0.4,0.4
2/15/2021,1.1,0.4,0.5,0.5
3/2/2021,1.1,0.5,0.4,0.4
3/4/2021,1.1,0.5,0.5,0.5
3/16/2021,1.2,0.5,0.7,0.7
4/5/2021,1.1,0.5,0.4,0.4
4/15/2021,1.1,0.4,0.4,0.4
5/7/2021,1.1,0.4,0.4,0.4
6/1/2021,1.2,0.2,0.5,0.5
6/15/2021,1.3,0.2,0.6,0.6
7/1/2021,1.4,0.2,0.8,0.8
8/16/2021,1.3,0.4,0.6,0.6
9/1/2021,1.2,0.5,0.4,0.5
10/1/2021,1.2,0.5,0.4,0.4
11/1/2021,1.2,0.5,0.5,0.5
11/15/2021,1.2,0.5,0.4,0.5
12/1/2021,1.2,0.5,0.5,0.5
12/20/2021,1.2,0.2,0.5,0.5
1/3/2022,1.2,0.5,0.5,0.5
1/4/2022,1.1,0.2,0.3,0.2
1/20/2022,1,0.2,0.1,0.1
2/1/2022,1,0.1,0.1,0.1
2/28/2022,1,0.1,0.1,0.1
4/1/2022,1,0.2,0.2,0.3
4/15/2022,1,0.2,0.2,0.3
5/1/2022,0.9,0.2,0.2,0.3
6/1/2022,0.9,0.1,0.2,0.3
7/1/2022,0.9,0.1,0.1,0.3
8/1/2022,0.8,0.1,0.1,0.2
9/1/2022,0.8,0.1,0.2,0.2
10/1/2022,0.8,0.1,0.2,0.2
11/1/2022,0.9,0.1,0.2,0.2
12/1/2022,0.9,0.1,0.2,0.2
